,gpas_uw,gpas_w,gpas_max,act_score,sat_score,stanford_admit,hook_admit,competetive,ap_count,ivy_admit,top_25_admit
549,3.91,4.12,4.12,34.0,1500.0,FALSE,0,1,7,FALSE,FALSE
550,,,,,,FALSE,0,0,6,FALSE,FALSE
551,3.95,4.49,4.49,,,FALSE,0,1,0,FALSE,FALSE
552,,,,,,FALSE,0,0,2,FALSE,FALSE
553,3.97,3.97,3.97,,,FALSE,1,0,23,TRUE,TRUE
554,4.95,4.95,5.0,,1570.0,FALSE,0,0,12,FALSE,FALSE
555,3.9,3.9,3.9,,,FALSE,0,1,2,TRUE,TRUE
556,,,,,,FALSE,0,1,8,TRUE,TRUE
557,,,,,,FALSE,0,0,3,FALSE,TRUE
558,4.0,5.233,5.233,28.0,1290.0,FALSE,0,0,0,FALSE,FALSE
559,3.35,3.35,3.35,,,FALSE,0,0,11,FALSE,FALSE
560,4.0,4.73,4.73,,1550.0,FALSE,0,0,9,FALSE,FALSE
561,4.2,4.2,4.2,,1480.0,FALSE,0,0,0,FALSE,FALSE
562,4.34,4.34,4.34,,1580.0,FALSE,0,0,16,TRUE,TRUE
563,3.65,3.7,3.7,,,FALSE,0,0,8,FALSE,FALSE
564,3.6,3.6,3.6,30.0,1550.0,FALSE,0,0,7,FALSE,FALSE
565,4.0,4.42,4.71,,1600.0,FALSE,0,1,8,FALSE,FALSE
566,4.0,4.5,4.5,,,FALSE,0,0,10,FALSE,FALSE
567,,,,,,FALSE,0,1,22,FALSE,TRUE
568,4.0,4.5,4.5,,1550.0,FALSE,0,1,15,FALSE,FALSE
569,3.98,3.98,3.98,,,FALSE,0,0,4,FALSE,TRUE
570,4.0,5.0,5.0,,,FALSE,0,1,12,FALSE,FALSE
571,,,,,1550.0,FALSE,0,1,14,FALSE,TRUE
572,,,,,,FALSE,0,0,12,TRUE,TRUE
573,,,,,,FALSE,0,0,7,FALSE,TRUE
574,,,,,,FALSE,0,0,9,FALSE,FALSE
575,3.95,4.56,4.56,29.0,1340.0,FALSE,0,0,5,FALSE,FALSE
576,3.41,3.41,3.41,31.0,1320.0,FALSE,0,0,8,FALSE,FALSE
577,3.81,3.92,3.92,,1530.0,FALSE,0,1,15,TRUE,TRUE
578,4.0,4.8,4.8,,1530.0,FALSE,0,0,0,FALSE,FALSE
579,3.9,4.4,4.4,,1570.0,FALSE,0,0,9,FALSE,TRUE
580,4.56,4.56,4.56,,,TRUE,0,0,5,FALSE,TRUE
581,3.96,4.85,4.85,,,FALSE,0,0,9,FALSE,FALSE
582,3.92,3.92,3.92,,1510.0,FALSE,0,0,7,FALSE,TRUE
583,,,,,,FALSE,0,0,0,FALSE,FALSE
584,3.81,4.25,4.25,33.0,1460.0,FALSE,0,0,0,FALSE,FALSE
585,3.8,3.8,3.8,26.0,1120.0,FALSE,0,0,0,FALSE,FALSE
586,3.24,3.37,3.37,,,TRUE,1,0,14,TRUE,TRUE
587,,,,,,FALSE,0,1,6,FALSE,FALSE
588,4.0,4.0,4.0,,1360.0,FALSE,1,0,14,FALSE,FALSE
589,,,,33.0,1460.0,FALSE,0,0,6,FALSE,FALSE
590,3.9648,99.12,99.12,,1560.0,FALSE,0,0,20,FALSE,FALSE
591,3.98,95.37,95.37,,,FALSE,0,1,3,FALSE,FALSE
592,3.832,95.8,95.8,,,FALSE,0,1,6,FALSE,FALSE
593,4.5,4.5,4.5,36.0,1590.0,FALSE,0,1,13,FALSE,FALSE
594,4.1,4.1,4.1,32.0,1430.0,FALSE,0,0,13,TRUE,TRUE
595,3.92,3.92,3.92,,1590.0,FALSE,0,0,0,FALSE,FALSE
596,2.5,15.5,15.5,,,FALSE,0,1,18,FALSE,FALSE
597,3.89,3.89,3.89,,,FALSE,0,0,3,FALSE,TRUE
598,3.656,91.4,91.8,,,TRUE,0,0,8,FALSE,TRUE
599,3.9,4.3,4.3,,1430.0,FALSE,1,0,3,TRUE,TRUE
600,4.0,4.22,4.22,,1470.0,TRUE,0,0,1,FALSE,TRUE
601,,,,,,FALSE,0,0,0,FALSE,FALSE
602,3.9,3.9,3.9,,1490.0,FALSE,0,0,10,FALSE,FALSE
603,4.0,4.6,4.6,34.0,1500.0,FALSE,0,0,13,FALSE,FALSE
604,4.0,4.0,4.0,,,FALSE,0,0,4,FALSE,FALSE
605,4.0,4.0,4.0,,1580.0,FALSE,0,0,10,FALSE,FALSE
606,3.72,3.72,3.72,,,FALSE,0,1,13,FALSE,FALSE
607,3.9,4.35,4.35,,1570.0,FALSE,0,0,7,TRUE,TRUE
608,4.0,4.0,4.0,,1430.0,FALSE,0,0,4,FALSE,FALSE
609,,,,,,FALSE,0,0,8,FALSE,FALSE
610,3.5,4.0,4.0,,1540.0,FALSE,0,0,2,FALSE,FALSE
611,6.3,6.3,7.0,35.0,1540.0,FALSE,0,0,0,FALSE,FALSE
612,3.64,4.02,4.02,29.0,1340.0,FALSE,0,0,14,FALSE,FALSE
613,,,,,,FALSE,0,0,12,FALSE,FALSE
614,,,,,1390.0,FALSE,0,0,11,FALSE,FALSE
615,,,,,,FALSE,0,0,9,FALSE,FALSE
616,,,,,,FALSE,0,0,10,FALSE,FALSE
617,3.96,6.4,6.4,,1490.0,FALSE,1,0,2,FALSE,FALSE
618,3.65,4.03,4.12,,1560.0,FALSE,0,0,3,TRUE,TRUE
619,4.0,4.57,4.63,35.0,1560.0,FALSE,0,1,11,FALSE,FALSE
620,3.9,4.7,4.7,34.0,1520.0,FALSE,0,0,8,FALSE,FALSE
621,3.86,4.89,4.89,34.0,1500.0,TRUE,1,1,7,FALSE,TRUE
622,4.3,4.3,4.4,,1480.0,FALSE,0,1,11,FALSE,FALSE
623,,,,,1510.0,FALSE,0,0,14,FALSE,TRUE
624,4.2,4.2,4.2,,,FALSE,0,1,16,FALSE,FALSE
625,3.9,4.5,4.5,,,FALSE,0,0,12,FALSE,TRUE
626,,,,33.0,1460.0,FALSE,0,0,12,FALSE,FALSE
627,3.71,4.07,4.07,,,FALSE,0,0,34,FALSE,FALSE
628,3.7880000000000000,94.7,94.7,,,FALSE,0,0,19,FALSE,TRUE
629,4.0,4.0,4.0,,1540.0,FALSE,0,0,16,FALSE,FALSE
630,,,,,,FALSE,0,0,0,FALSE,FALSE
631,,,,,,FALSE,0,0,3,FALSE,FALSE
632,4.48,4.48,5.0,,1520.0,FALSE,1,0,21,FALSE,FALSE
633,3.88,4.3,4.3,,1570.0,FALSE,0,0,23,TRUE,TRUE
634,2.8,2.95,2.95,,1270.0,FALSE,0,1,12,FALSE,FALSE
635,,,,,,FALSE,0,0,8,FALSE,FALSE
636,3.65,3.65,3.65,33.0,1450.0,FALSE,0,0,13,FALSE,FALSE
637,,,,,,TRUE,0,0,20,TRUE,TRUE
638,3.88,4.2,4.2,,,FALSE,0,0,2,FALSE,FALSE
639,4.8,4.8,5.8,35.0,1540.0,FALSE,0,1,21,FALSE,FALSE
640,3.9,3.9,3.9,,1560.0,FALSE,0,1,21,FALSE,TRUE
641,,,,,,FALSE,0,0,13,FALSE,FALSE
642,3.5,3.8,3.8,35.0,1460.0,FALSE,0,0,4,FALSE,FALSE
643,,,,,,FALSE,0,0,4,FALSE,FALSE
644,,,,,,TRUE,0,0,8,FALSE,TRUE
645,,,,,,FALSE,0,0,3,FALSE,FALSE
646,3.96,4.0,4.0,33.0,1460.0,FALSE,0,0,4,TRUE,TRUE
647,,,,,,FALSE,0,1,26,FALSE,FALSE
648,,,,,,FALSE,0,1,38,FALSE,FALSE
649,3.96,4.56,4.56,36.0,1530.0,FALSE,1,0,23,TRUE,TRUE
650,3.97,3.97,3.97,,1470.0,FALSE,0,1,11,FALSE,FALSE
651,,,,,,FALSE,0,0,4,FALSE,FALSE
652,,,,35.0,1510.0,FALSE,0,1,4,FALSE,FALSE
653,3.97,4.39,5.0,,1540.0,FALSE,0,0,13,FALSE,FALSE
654,4.0,4.5,4.5,,,FALSE,0,0,21,TRUE,TRUE
655,3.75,4.76,4.76,,1560.0,FALSE,0,0,25,FALSE,FALSE
656,4.0,4.0,4.0,32.0,1430.0,FALSE,0,0,15,FALSE,FALSE
657,,,,,1550.0,FALSE,0,0,19,FALSE,FALSE
658,,,,73.0,1560.0,FALSE,0,0,18,FALSE,FALSE
659,3.67,4.05,4.05,,1510.0,FALSE,0,0,7,FALSE,FALSE
660,4.0,4.15,4.15,,1580.0,FALSE,0,0,0,FALSE,FALSE
661,3.95,4.3,4.3,34.0,1480.0,FALSE,0,0,0,FALSE,FALSE
662,3.9,4.26,4.65,,1520.0,FALSE,0,0,0,FALSE,FALSE
663,3.8,4.3,4.3,,,FALSE,0,0,0,FALSE,FALSE
664,3.3,3.3,3.3,,,FALSE,0,0,14,FALSE,FALSE
665,,,,34.0,1500.0,FALSE,0,1,6,FALSE,FALSE
666,4.0,4.0,4.0,,,FALSE,0,0,11,FALSE,FALSE
667,3.694,92.35,92.35,35.0,1540.0,FALSE,0,0,31,FALSE,FALSE
668,4.0,4.9,5.2,,1390.0,FALSE,0,0,0,FALSE,FALSE
669,4.0,4.84,4.84,36.0,1570.0,FALSE,0,0,34,FALSE,FALSE
670,,,,,,FALSE,0,0,0,FALSE,FALSE
671,4.4,4.4,4.4,,,TRUE,0,1,57,FALSE,TRUE
672,,,,,,FALSE,0,1,20,FALSE,FALSE
673,3.3,3.6,3.6,,,FALSE,0,0,5,FALSE,FALSE
674,3.82,3.82,3.82,,1500.0,FALSE,0,0,12,FALSE,FALSE
675,4.0,5.0,5.0,,1400.0,FALSE,0,1,25,FALSE,FALSE
676,3.8,4.25,4.25,28.0,1400.0,FALSE,0,0,0,FALSE,FALSE
677,2.9,3.4,3.4,,,FALSE,0,0,0,FALSE,FALSE
678,,,,,,FALSE,0,0,4,FALSE,FALSE
679,,,,,,FALSE,1,1,28,FALSE,FALSE
680,,,,,,FALSE,0,0,0,FALSE,FALSE
681,3.9,4.8,4.8,33.0,1500.0,FALSE,0,0,0,FALSE,FALSE
682,3.85,4.38,4.38,,1480.0,FALSE,0,0,14,FALSE,TRUE
683,4.7,4.7,4.7,,,FALSE,0,0,7,FALSE,FALSE
